BadgeEnum,Text,FrameIndex,PinIndex,PinAnchorX,PinAnchorY,Padding
5206, 11.20, 2, -1, 0.00, 0.00, 0.0
5207, 11.20, 2, -1, 0.00, 0.00, 0.0
5208, , 3, -1, 0.00, 0.00, 0.0
5209, , 3, -1, 0.00, 0.00, 0.0
5210, , 3, -1, 0.00, 0.00, 0.0
5211, , 3, -1, 0.00, 0.00, 0.0
5212, , 3, -1, 0.00, 0.00, 0.0
5213, , 3, -1, 0.00, 0.00, 0.0
5214, , 3, -1, 0.00, 0.00, 0.0
5215, , 3, -1, 0.00, 0.00, 0.0
5216, , 3, -1, 0.00, 0.00, 0.0
5217, 12.20, 2, -1, 0.00, 0.00, 0.0
5218, 05.21, 2, -1, 0.00, 0.00, 0.0
5219, 05.21, 2, -1, 0.00, 0.00, 0.0
5220, 05.21, 2, -1, 0.00, 0.00, 0.0
5222, 12.21, 2, -1, 0.00, 0.00, 0.0
5223, 12.21, 2, -1, 0.00, 0.00, 0.0
5224, 12.21, 2, -1, 0.00, 0.00, 0.0
5225, 12.21, 2, -1, 0.00, 0.00, 0.0
5226, 12.21, 2, -1, 0.00, 0.00, 0.0
5227, 12.21, 2, -1, 0.00, 0.00, 0.0
5228, 12.21, 2, -1, 0.00, 0.00, 0.0
5231, , 3, -1, 0.00, 0.00, 0.0
5232, 2021, 0, -1, 0.00, 0.00, 0.0
5233, 2021, 0, -1, 0.00, 0.00, 0.0
5234, , 3, -1, 0.00, 0.00, 0.0
5244, 2022, 0, -1, 0.00, 0.00, 0.0
5245, 2022, 0, -1, 0.00, 0.00, 0.0
5246, 2022, 4, -1, 0.00, 0.00, 0.0
5247, 2022, 4, -1, 0.00, 0.00, 0.0
5248, 2022, 4, -1, 0.00, 0.00, 0.0
5249, 2022, 4, -1, 0.00, 0.00, 0.0
5250, 2022, 4, -1, 0.00, 0.00, 0.0
5251, 2022, 4, -1, 0.00, 0.00, 0.0
5252, 2022, 4, -1, 0.00, 0.00, 0.0
5253, 2022, 4, -1, 0.00, 0.00, 0.0
5254, 03.22, 2, -1, 0.00, 0.00, 0.0
5255, 03.22, 2, -1, 0.00, 0.00, 0.0
5256, 03.22, 2, -1, 0.00, 0.00, 0.0
5257, 06.22, 2, -1, 0.00, 0.00, 0.0
5258, 06.22, 2, -1, 0.00, 0.00, 0.0
5259, 06.22, 2, -1, 0.00, 0.00, 0.0
5260, , 3, -1, 0.00, 0.00, 0.0
5261, , 3, -1, 0.00, 0.00, 0.0
5262, 09.22, 2, -1, 0.00, 0.00, 0.0
5263, 09.22, 2, -1, 0.00, 0.00, 0.0
5264, 09.22, 2, -1, 0.00, 0.00, 0.0
5266, 08.22, 2, -1, 0.00, 0.00, 0.0
5267, 09.23, 1, -1, 0.00, 0.00, 0.0
5268, 09.23, 1, -1, 0.00, 0.00, 0.0
5269, 09.23, 1, -1, 0.00, 0.00, 0.0
5270, 09.23, 1, -1, 0.00, 0.00, 0.0
5271, 09.24, 1, -1, 0.00, 0.00, 0.0
5272, 09.24, 1, -1, 0.00, 0.00, 0.0
5273, 09.25, 1, -1, 0.00, 0.00, 0.0
5274, 09.25, 1, -1, 0.00, 0.00, 0.0
5275, 08.22, 2, -1, 0.00, 0.00, 0.0
5276, 12.22, 2, -1, 0.00, 0.00, 0.0
5277, 12.22, 2, -1, 0.00, 0.00, 0.0
5278, 12.22, 2, -1, 0.00, 0.00, 0.0
5279, 12.22, 2, -1, 0.00, 0.00, 0.0
5280, , 3, -1, 0.00, 0.00, 0.0
5286, 05.13, 1, -1, 0.00, 0.00, 0.0
5287, 05.13, 1, -1, 0.00, 0.00, 0.0
5288, 05.13, 1, -1, 0.00, 0.00, 0.0
5289, 05.13, 1, -1, 0.00, 0.00, 0.0
5290, 05.14, 1, -1, 0.00, 0.00, 0.0
5291, 05.14, 1, -1, 0.00, 0.00, 0.0
5292, 05.15, 1, -1, 0.00, 0.00, 0.0
5293, 05.15, 1, -1, 0.00, 0.00, 0.0
5294, , 3, -1, 0.00, 0.00, 0.0
5295, , 3, -1, 0.00, 0.00, 0.0
5296, , 3, -1, 0.00, 0.00, 0.0
5297, , 3, -1, 0.00, 0.00, 0.0
5302, 2022, 0,  0, 0.34, 0.66, 0.0
5303, 2022, 0,  0, 0.34, 0.66, 0.0
5304, 2022, 0,  0, 0.34, 0.66, 0.0
5305, 2022, 0,  0, 0.34, 0.66, 0.0
5306, 2022, 0,  0, 0.34, 0.66, 0.0
5307, 2022, 0,  0, 0.34, 0.66, 0.0
5308, 2022, 0,  0, 0.34, 0.66, 0.0
5309, 2022, 0,  0, 0.34, 0.66, 0.0
5310, 2022, 0,  0, 0.34, 0.66, 0.0
5311, 2022, 0,  0, 0.34, 0.66, 0.0
5312, 2022, 0,  0, 0.34, 0.66, 0.0
5313, 2022, 0,  0, 0.34, 0.66, 0.0
5314, 2022, 0,  0, 0.34, 0.66, 0.0
5315, 2022, 0,  0, 0.34, 0.66, 0.0
5316, 2022, 0,  0, 0.34, 0.66, 0.0
5317, 2022, 0,  0, 0.34, 0.66, 0.0
5318, 2022, 0,  0, 0.34, 0.66, 0.0
5319, 2022, 0,  0, 0.34, 0.66, 0.0
5320, 2022, 0,  0, 0.34, 0.66, 0.0
5321, 2022, 0,  0, 0.34, 0.66, 0.0
5322, 2022, 0,  0, 0.34, 0.66, 0.0
5323, 2022, 0,  0, 0.34, 0.66, 0.0
5324, 2022, 0,  0, 0.34, 0.66, 0.0
5325, 2022, 0,  0, 0.34, 0.66, 0.0
5326, 2022, 0,  0, 0.53, 0.71, 0.0
5327, 2022, 0,  0, 0.53, 0.71, 0.0
5328, 2022, 0,  0, 0.53, 0.71, 0.0
5329, 2022, 0,  0, 0.53, 0.71, 0.0
5330, 2022, 0,  0, 0.53, 0.71, 0.0
5331, 2022, 0,  0, 0.53, 0.71, 0.0
5332, 2022, 0,  0, 0.53, 0.71, 0.0
5333, 2022, 0,  0, 0.53, 0.71, 0.0
5334, 2022, 0,  0, 0.53, 0.71, 0.0
5335, 2022, 0,  0, 0.53, 0.71, 0.0
5336, 2022, 0,  0, 0.53, 0.71, 0.0
5337, 2022, 0,  0, 0.53, 0.71, 0.0
5338, 2022, 0,  0, 0.53, 0.71, 0.0
5339, 2022, 0,  0, 0.53, 0.71, 0.0
5340, 2022, 0,  0, 0.53, 0.71, 0.0
5341, 2022, 0,  0, 0.53, 0.71, 0.0
5342, 2022, 0,  0, 0.34, 0.66, 0.0
5343, 2022, 0,  0, 0.34, 0.66, 0.0
5344, 2022, 0,  0, 0.34, 0.66, 0.0
5345, 2022, 0,  0, 0.34, 0.66, 0.0
5346, 2022, 0,  0, 0.34, 0.66, 0.0
5347, 2022, 0,  0, 0.34, 0.66, 0.0
5348, 2022, 0,  0, 0.34, 0.66, 0.0
5349, 2022, 0,  0, 0.34, 0.66, 0.0
5350, 2022, 0,  0, 0.53, 0.71, 0.0
5351, 2022, 0,  0, 0.53, 0.71, 0.0
5352, 2022, 0,  0, 0.53, 0.71, 0.0
5353, 2022, 0,  0, 0.53, 0.71, 0.0
5371, 2023, 2, -1, 0.00, 0.00, 0.0
5372, , 3, -1, 0.00, 0.00, 0.0
5373, , 3, -1, 0.00, 0.00, 0.0
5374, , 3, -1, 0.00, 0.00, 0.0
5375, , 3, -1, 0.00, 0.00, 0.0
5376, , 3, -1, 0.00, 0.00, 0.0
5454, 10.21, 1, -1, 0.00, 0.00, 0.0
5455, 10.21, 1, -1, 0.00, 0.00, 0.0
5456, 10.21, 1, -1, 0.00, 0.00, 0.0
5457, 10.21, 1, -1, 0.00, 0.00, 0.0
5458, 10.22, 1, -1, 0.00, 0.00, 0.0
5459, 10.22, 1, -1, 0.00, 0.00, 0.0
5460, 10.23, 1, -1, 0.00, 0.00, 0.0
5461, 10.23, 1, -1, 0.00, 0.00, 0.0
5462, 11.18, 1, -1, 0.00, 0.00, 0.0
5463, 11.18, 1, -1, 0.00, 0.00, 0.0
5464, 11.18, 1, -1, 0.00, 0.00, 0.0
5465, 11.18, 1, -1, 0.00, 0.00, 0.0
5466, 11.19, 1, -1, 0.00, 0.00, 0.0
5467, 11.19, 1, -1, 0.00, 0.00, 0.0
5468, 11.20, 1, -1, 0.00, 0.00, 0.0
5469, 11.20, 1, -1, 0.00, 0.00, 0.0
5470, 2023, 4, -1, 0.00, 0.00, 0.0
5471, 2023, 4, -1, 0.00, 0.00, 0.0
5472, 2023, 4, -1, 0.00, 0.00, 0.0
5473, 2023, 4, -1, 0.00, 0.00, 0.0
5474, 2023, 4, -1, 0.00, 0.00, 0.0
5475, 2023, 4, -1, 0.00, 0.00, 0.0
5476, 2023, 4, -1, 0.00, 0.00, 0.0
5477, 2023, 4, -1, 0.00, 0.00, 0.0
5478, 2023, 4, -1, 0.00, 0.00, 0.0
5479, 2023, 4, -1, 0.00, 0.00, 0.0
5480, 2023, 4, -1, 0.00, 0.00, 0.0
5481, 2023, 5, 0, 0.53, 0.67, 0.0
5482, 2023, 5, 0, 0.53, 0.67, 0.0
5483, 2023, 5, 0, 0.53, 0.67, 0.0
5484, 2023, 5, 0, 0.53, 0.67, 0.0
5485, 2023, 5, 0, 0.53, 0.67, 0.0
5486, 2023, 5, 0, 0.53, 0.67, 0.0
5487, 2023, 0, 0, 0.53, 0.67, 0.0
5488, 2023, 0, 0, 0.53, 0.67, 0.0
5489, 2023, 0, 0, 0.53, 0.67, 0.0
5490, 2023, 0, 0, 0.53, 0.67, 0.0
5491, 2023, 0, 0, 0.53, 0.67, 0.0
5492, 2023, 0, 0, 0.53, 0.67, 0.0
5493, 2023, 6, 0, 0.53, 0.67, 0.0
5494, 2023, 6, 0, 0.53, 0.67, 0.0
5495, 2023, 6, 0, 0.53, 0.67, 0.0
5496, 2023, 6, 0, 0.53, 0.67, 0.0
5497, 2023, 6, 0, 0.53, 0.67, 0.0
5498, 2023, 0, 0, 0.53, 0.67, 0.0
5499, 2023, 0, 0, 0.53, 0.67, 0.0
5500, 2023, 5, 0, 0.53, 0.67, 0.0
5501, 2023, 5, 0, 0.53, 0.67, 0.0
5502, 2023, 5, 0, 0.32, 0.65, 0.0
5503, 2023, 5, 0, 0.32, 0.65, 0.0
5504, 2023, 5, 0, 0.32, 0.65, 0.0
5505, 2023, 5, 0, 0.32, 0.65, 0.0
5506, 2023, 5, 0, 0.32, 0.65, 0.0
5507, 2023, 5, 0, 0.32, 0.65, 0.0
5508, 2023, 0, 0, 0.32, 0.65, 0.0
5509, 2023, 0, 0, 0.32, 0.65, 0.0
5510, 2023, 0, 0, 0.32, 0.65, 0.0
5511, 2023, 0, 0, 0.32, 0.65, 0.0
5512, 2023, 0, 0, 0.32, 0.65, 0.0
5513, 2023, 0, 0, 0.32, 0.65, 0.0
5514, 2023, 6, 0, 0.32, 0.65, 0.0
5515, 2023, 6, 0, 0.32, 0.65, 0.0
5516, 2023, 0, 0, 0.32, 0.65, 0.0
5517, 2023, 6, 0, 0.32, 0.65, 0.0
5518, 2023, 6, 0, 0.32, 0.65, 0.0
5519, 2023, 0, 0, 0.32, 0.65, 0.0
5520, 2023, 0, 0, 0.32, 0.65, 0.0
5521, 2023, 5, 0, 0.32, 0.65, 0.0
5522, 2023, 5, 0, 0.32, 0.65, 0.0
5523, 2023, 5, 0, 0.44, 0.65, 0.0
5524, 2023, 5, 0, 0.44, 0.65, 0.0
5525, 2023, 5, 0, 0.44, 0.65, 0.0
5526, 2023, 5, 0, 0.44, 0.65, 0.0
5527, 2023, 5, 0, 0.44, 0.65, 0.0
5528, 2023, 5, 0, 0.44, 0.65, 0.0
5529, 2023, 0, 0, 0.44, 0.65, 0.0
5530, 2023, 0, 0, 0.44, 0.65, 0.0
5531, 2023, 0, 0, 0.44, 0.65, 0.0
5532, 2023, 0, 0, 0.44, 0.65, 0.0
5533, 2023, 0, 0, 0.44, 0.65, 0.0
5534, 2023, 0, 0, 0.44, 0.65, 0.0
5535, 2023, 6, 0, 0.44, 0.65, 0.0
5536, 2023, 6, 0, 0.44, 0.65, 0.0
5537, 2023, 0, 0, 0.44, 0.65, 0.0
5538, 2023, 6, 0, 0.44, 0.65, 0.0
5539, 2023, 6, 0, 0.44, 0.65, 0.0
5540, 2023, 0, 0, 0.44, 0.65, 0.0
5541, 2023, 0, 0, 0.44, 0.65, 0.0
5542, 2023, 5, 0, 0.44, 0.65, 0.0
5543, 2023, 5, 0, 0.44, 0.65, 0.0
5544, 2023, 0, -1, 0.00, 0.00, 0.0
5545, 2023, 0, -1, 0.00, 0.00, 0.0
5546, 2023, 0, 0, 0.52, 0.51, 0.0
5547, 2023, 0, 0, 0.52, 0.51, 0.0
5548, 2023, 0, 0, 0.52, 0.51, 0.0
5549, 2023, 0, 0, 0.52, 0.51, 0.0
5550, 2023, 0, 0, 0.52, 0.51, 0.0
5551, 2023, 0, 0, 0.38, 0.50, 0.0
5552, 2023, 0, 0, 0.38, 0.50, 0.0
5553, 2023, 0, 0, 0.38, 0.50, 0.0
5554, 2023, 0, 0, 0.38, 0.50, 0.0
5555, 2023, 0, 0, 0.38, 0.50, 0.0
5556, 2023, 0, 0, 0.40, 0.53, 0.0
5557, 2023, 0, 0, 0.40, 0.53, 0.0
5558, 2023, 0, 0, 0.40, 0.53, 0.0
5559, 2023, 0, 0, 0.40, 0.53, 0.0
5560, 2023, 0, 0, 0.40, 0.53, 0.0
5561, 2024, 4, -1, 0.00, 0.00, 0.0
5562, 2024, 4, -1, 0.00, 0.00, 0.0
5563, 2024, 4, -1, 0.00, 0.00, 0.0
5564, 2024, 4, -1, 0.00, 0.00, 0.0
5565, , 3, -1, 0.00, 0.00, 0.0
5566, , 3, -1, 0.00, 0.00, 0.0
5567, , 3, -1, 0.00, 0.00, 0.0
5568, , 3, -1, 0.00, 0.00, 0.0
5569, 2024, 4, -1, 0.00, 0.00, 0.0
5570, 2024, 5, -1, 0.00, 0.00, 0.0
5571, 2024, 5, -1, 0.00, 0.00, 0.0
5572, 2024, 4, -1, 0.00, 0.00, 0.0
5573, 2024, 5, -1, 0.00, 0.00, 0.0
5574, 2024, 4, -1, 0.00, 0.00, 0.0
5575, 2024, 5, -1, 0.00, 0.00, 0.0
5576, 2024, 6, -1, 0.00, 0.00, 0.0
5577, 2024, 6, -1, 0.00, 0.00, 0.0
5578, 2024, 6, -1, 0.00, 0.00, 0.0
5579, 2024, 6, -1, 0.00, 0.00, 0.0
5580, 2024, 4, -1, 0.00, 0.00, 0.0
5581, 2024, 0, 0, 0.45, 0.56, 0.0
5582, 2024, 0, 0, 0.45, 0.56, 0.0
5583, 2024, 0, 0, 0.45, 0.56, 0.0
5584, 2024, 6, 0, 0.45, 0.56, 0.0
5585, 2024, 6, 0, 0.45, 0.56, 0.0
5586, 2024, 6, 0, 0.45, 0.56, 0.0
5587, 2024, 6, 0, 0.45, 0.56, 0.0
5588, , 3, -1, 0.00, 0.00, 0.0
5589, , 3, -1, 0.00, 0.00, 0.0
5590, , 3, -1, 0.00, 0.00, 0.0
5591, , 3, -1, 0.00, 0.00, 0.0
5592, 2024, 0, -1, 0.00, 0.00, 0.0
5593, 2024, 0, -1, 0.00, 0.00, 0.0
5594, 2024, 0, 0, 0.53, 0.67, 0.0
5595, 2024, 5, 0, 0.53, 0.67, 0.0
5597, 2024, 0, 0, 0.53, 0.67, 0.0
5598, 2024, 0, 0, 0.53, 0.67, 0.0
5599, 2024, 5, 0, 0.53, 0.67, 0.0
5600, 2024, 5, 0, 0.53, 0.67, 0.0
5601, 2024, 5, 0, 0.53, 0.67, 0.0
5602, 2024, 5, 0, 0.53, 0.67, 0.0
5606, 2024, 0, 0, 0.53, 0.67, 0.0
5607, 2024, 0, 0, 0.53, 0.67, 0.0
5608, 2024, 0, 0, 0.53, 0.67, 0.0
5609, 2024, 0, 0, 0.53, 0.67, 0.0
5610, 2024, 0, 0, 0.53, 0.67, 0.0
5611, 2024, 0, 0, 0.53, 0.67, 0.0
5612, 2024, 0, 0, 0.53, 0.67, 0.0
5613, 2024, 0, 0, 0.53, 0.67, 0.0
5615, 2024, 6, 0, 0.53, 0.67, 0.0
5616, 2024, 6, 0, 0.53, 0.67, 0.0
5617, 2024, 0, 0, 0.53, 0.67, 0.0
5618, 2024, 6, 0, 0.53, 0.67, 0.0
5619, 2024, 6, 0, 0.53, 0.67, 0.0
5620, 2024, 0, 0, 0.53, 0.67, 0.0
5621, 2024, 0, 0, 0.53, 0.67, 0.0
5622, 2024, 5, 0, 0.53, 0.67, 0.0
5623, 2024, 5, 0, 0.53, 0.67, 0.0
5624, 2024, 0, 0, 0.26, 0.56, 0.0
5625, 2024, 5, 0, 0.26, 0.56, 0.0
5626, 2024, 5, 0, 0.26, 0.56, 0.0
5627, 2024, 5, 0, 0.26, 0.56, 0.0
5631, 2024, 0, 0, 0.26, 0.56, 0.0
5632, 2024, 0, 0, 0.26, 0.56, 0.0
5633, 2024, 0, 0, 0.26, 0.56, 0.0
5634, 2024, 0, 0, 0.26, 0.56, 0.0
5635, 2024, 0, 0, 0.26, 0.56, 0.0
5636, 2024, 0, 0, 0.26, 0.56, 0.0
5637, 2024, 6, 0, 0.26, 0.56, 0.0
5638, 2024, 6, 0, 0.26, 0.56, 0.0
5639, 2024, 0, 0, 0.26, 0.56, 0.0
5640, 2024, 6, 0, 0.26, 0.56, 0.0
5641, 2024, 6, 0, 0.26, 0.56, 0.0
5642, 2024, 0, 0, 0.26, 0.56, 0.0
5643, 2024, 0, 0, 0.26, 0.56, 0.0
5644, 2024, 5, 0, 0.26, 0.56, 0.0
5645, 2024, 5, 0, 0.26, 0.56, 0.0
5646, 2024, 0, 0, 0.26, 0.56, 0.0
5647, 2024, 5, 0, 0.44, 0.65, 0.0
5648, 2024, 5, 0, 0.44, 0.65, 0.0
5649, 2024, 5, 0, 0.44, 0.65, 0.0
5653, 2024, 0, 0, 0.44, 0.65, 0.0
5654, 2024, 0, 0, 0.44, 0.65, 0.0
5655, 2024, 0, 0, 0.44, 0.65, 0.0
5656, 2024, 0, 0, 0.44, 0.65, 0.0
5657, 2024, 0, 0, 0.44, 0.65, 0.0
5658, 2024, 0, 0, 0.44, 0.65, 0.0
5659, 2024, 6, 0, 0.44, 0.65, 0.0
5660, 2024, 6, 0, 0.44, 0.65, 0.0
5661, 2024, 0, 0, 0.44, 0.65, 0.0
5662, 2024, 6, 0, 0.44, 0.65, 0.0
5663, 2024, 6, 0, 0.44, 0.65, 0.0
5664, 2024, 0, 0, 0.44, 0.65, 0.0
5665, 2024, 0, 0, 0.44, 0.65, 0.0
5666, 2024, 5, 0, 0.44, 0.65, 0.0
5667, 2024, 5, 0, 0.44, 0.65, 0.0
5668, 2024, 5, 0, 0.53, 0.67, 0.0
5669, 2024, 5, 0, 0.53, 0.67, 0.0
5672, 2024, 0, 0, 0.53, 0.67, 0.0
5673, , 3, -1, 0.00, 0.00, 0.0
5674, , 3, -1, 0.00, 0.00, 0.0
5675, , 3, -1, 0.00, 0.00, 0.0
5676, , 3, -1, 0.00, 0.00, 0.0
5677, , 3, -1, 0.00, 0.00, 0.0
5678, , 3, -1, 0.00, 0.00, 0.0
5679, 2024, 0, 0, 0.40, 0.47, 0.0
5680, 2024, 0, 0, 0.40, 0.47, 0.0
5681, 2024, 0, 0, 0.40, 0.47, 0.0
5682, 2024, 0, 0, 0.40, 0.47, 0.0
5683, 2024, 0, 0, 0.40, 0.47, 0.0
5684, 2024, 0, 0, 0.40, 0.47, 0.0
5685, 2024, 0, 0, 0.40, 0.47, 0.0
5686, 2024, 1, -1, 0.00, 0.00, 0.0
5687, 2024, 1, -1, 0.00, 0.00, 0.0
5688, 2024, 1, -1, 0.00, 0.00, 0.0
5689, 2024, 1, -1, 0.00, 0.00, 0.0
5690, 2024, 1, -1, 0.00, 0.00, 0.0
5691, 2024, 1, -1, 0.00, 0.00, 0.0
5692, 2024, 1, -1, 0.00, 0.00, 0.0
5693, 2024, 1, -1, 0.00, 0.00, 0.0
5713, , 3, -1, 0.00, 0.00, 0.0
5714, , 3, -1, 0.00, 0.00, 0.0
